Row, Timestamp, Series 1
0   , 0.668, 100    
1   , 0.670, 100    
2   , 0.672, 100    
3   , 0.674, 100    
4   , 0.676, 100    
5   , 0.678, 100    
6   , 0.680, 100    
7   , 0.682, 100    
8   , 0.684, 100    
9   , 0.686, 100    
10  , 0.688, 100    
11  , 0.690, 100    
12  , 0.692, 100    
13  , 0.694, 100    
14  , 0.696, 100    
15  , 0.698, 100    
16  , 0.700, 100    
17  , 0.702, 100    
18  , 0.704, 100    
19  , 0.706, 100    
20  , 0.708, 100    
21  , 0.710, 100    
22  , 0.712, 100    
23  , 0.714, 100    
24  , 0.716, 100    
25  , 0.718, 100    
26  , 0.720, 100    
27  , 0.722, 100    
28  , 0.724, 100    
29  , 0.726, 100    
30  , 0.728, 100    
31  , 0.730, 100    
32  , 0.732, 100    
33  , 0.734, 100    
34  , 0.736, 100    
35  , 0.738, 100    
36  , 0.740, 100    
37  , 0.742, 100    
38  , 0.744, 100    
39  , 0.746, 100    
40  , 0.748, 100    
41  , 0.750, 100    
42  , 0.752, 100    
43  , 0.754, 100    
44  , 0.756, 100    
45  , 0.758, 100    
46  , 0.760, 100    
47  , 0.762, 100    
48  , 0.764, 100    
49  , 0.766, 100    
50  , 0.768, 100    
51  , 0.770, 100    
52  , 0.772, 100    
53  , 0.774, 100    
54  , 0.776, 100    
55  , 0.778, 93     
56  , 0.780, 93     
57  , 0.782, 93     
58  , 0.784, 93     
59  , 0.786, 93     
60  , 0.788, 93     
61  , 0.790, 93     
62  , 0.792, 93     
63  , 0.794, 79     
64  , 0.796, 79     
65  , 0.798, 79     
66  , 0.800, 79     
67  , 0.802, 79     
68  , 0.804, 79     
69  , 0.806, 79     
70  , 0.808, 79     
71  , 0.810, 64     
72  , 0.812, 64     
73  , 0.814, 64     
74  , 0.816, 64     
75  , 0.818, 64     
76  , 0.820, 64     
77  , 0.822, 64     
78  , 0.824, 64     
79  , 0.826, 64     
80  , 0.828, 59     
81  , 0.830, 59     
82  , 0.832, 59     
83  , 0.834, 59     
84  , 0.836, 59     
85  , 0.838, 59     
86  , 0.840, 59     
87  , 0.842, 59     
88  , 0.844, 69     
89  , 0.846, 69     
90  , 0.848, 69     
91  , 0.850, 69     
92  , 0.852, 69     
93  , 0.854, 69     
94  , 0.856, 69     
95  , 0.858, 69     
96  , 0.860, 83     
97  , 0.862, 83     
98  , 0.864, 83     
99  , 0.866, 83     
100 , 0.868, 83     
101 , 0.870, 83     
102 , 0.872, 83     
103 , 0.874, 83     
104 , 0.876, 83     
105 , 0.878, 96     
106 , 0.880, 96     
107 , 0.882, 96     
108 , 0.884, 96     
109 , 0.886, 96     
110 , 0.888, 96     
111 , 0.890, 96     
112 , 0.892, 96     
113 , 0.894, 100    
114 , 0.896, 100    
115 , 0.898, 100    
116 , 0.900, 100    
117 , 0.902, 100    
118 , 0.904, 100    
119 , 0.906, 100    
120 , 0.908, 100    
121 , 0.910, 100    
122 , 0.912, 100    
123 , 0.914, 100    
124 , 0.916, 100    
125 , 0.918, 100    
126 , 0.920, 100    
127 , 0.922, 100    
128 , 0.924, 100    
129 , 0.926, 99     
130 , 0.928, 99     
131 , 0.930, 99     
132 , 0.932, 99     
133 , 0.934, 99     
134 , 0.936, 99     
135 , 0.938, 99     
136 , 0.940, 99     
137 , 0.942, 99     
138 , 0.944, 94     
139 , 0.946, 94     
140 , 0.948, 94     
141 , 0.950, 94     
142 , 0.952, 94     
143 , 0.954, 94     
144 , 0.956, 94     
145 , 0.958, 94     
146 , 0.960, 86     
147 , 0.962, 86     
148 , 0.964, 86     
149 , 0.966, 86     
150 , 0.968, 86     
151 , 0.970, 86     
152 , 0.972, 86     
153 , 0.974, 86     
154 , 0.976, 78     
155 , 0.978, 78     
156 , 0.980, 78     
157 , 0.982, 78     
158 , 0.984, 78     
159 , 0.986, 78     
160 , 0.988, 78     
161 , 0.990, 78     
162 , 0.992, 78     
163 , 0.994, 60     
164 , 0.996, 60     
165 , 0.998, 60     
166 , 1.000, 60     
167 , 1.002, 60     
168 , 1.004, 60     
169 , 1.006, 60     
170 , 1.008, 60     
171 , 1.010, 44     
172 , 1.012, 44     
173 , 1.014, 44     
174 , 1.016, 44     
175 , 1.018, 44     
176 , 1.020, 44     
177 , 1.022, 44     
178 , 1.024, 44     
179 , 1.026, 38     
180 , 1.028, 38     
181 , 1.030, 38     
182 , 1.032, 38     
183 , 1.034, 38     
184 , 1.036, 38     
185 , 1.038, 38     
186 , 1.040, 38     
187 , 1.042, 41     
188 , 1.044, 41     
189 , 1.046, 41     
